acc_x_mean,acc_x_std,acc_x_min,acc_x_max,acc_x_range,acc_x_peaks,acc_y_mean,acc_y_std,acc_y_min,acc_y_max,acc_y_range,acc_y_peaks,acc_z_mean,acc_z_std,acc_z_min,acc_z_max,acc_z_range,acc_z_peaks,gyro_x_mean,gyro_x_std,gyro_x_min,gyro_x_max,gyro_x_range,gyro_x_peaks,gyro_y_mean,gyro_y_std,gyro_y_min,gyro_y_max,gyro_y_range,gyro_y_peaks,gyro_z_mean,gyro_z_std,gyro_z_min,gyro_z_max,gyro_z_range,gyro_z_peaks,mag_x_mean,mag_x_std,mag_x_min,mag_x_max,mag_x_range,mag_x_peaks,mag_y_mean,mag_y_std,mag_y_min,mag_y_max,mag_y_range,mag_y_peaks,mag_z_mean,mag_z_std,mag_z_min,mag_z_max,mag_z_range,mag_z_peaks,Label
-0.0217,0.214635892,-0.517,0.3872,0.9042,1,0.040505,0.042880048,-0.0272,0.0898,0.117,2,0.364345,0.576624341,-0.4553,1.0903,1.5456,0,-0.01515,0.11509892,-0.1546,0.1411,0.2957,1,0.0249,0.068805225,-0.0447,0.1666,0.2113,0,0.114195,0.072122642,0,0.1869,0.1869,0,-16.22817,5.679681454,-20.6063,0,20.6063,1,-19.90689,6.64697284,-22.4625,0,22.4625,0,-24.63753,8.216015789,-27.6938,0,27.6938,0,Rotation Left
-1.258675,0.360833557,-1.7365,-0.3727,1.3638,0,-0.19733,0.175964781,-0.3986,0.101,0.4996,1,0.089385,0.205584613,-0.2348,0.3648,0.5996,2,-0.05799,0.070073382,-0.1546,0.0067,0.1613,1,0.05884,0.195132323,-0.206,0.2217,0.4277,1,0.56864,0.289355877,0.1869,1.0494,0.8625,0,-19.623785,2.273229722,-22.725,-17.5688,5.1562,1,-20.36533,1.479704766,-21.5438,-17.55,3.9938,0,-27.62158,0.504254779,-28.6125,-26.9625,1.65,1,Rotation Left
0.07577,0.142706742,-0.104,0.3124,0.4164,2,-0.33413,0.058667564,-0.4205,-0.2497,0.1708,3,0.37602,0.395684284,-0.1526,0.901,1.0536,2,-0.195405,0.064736276,-0.2706,-0.1057,0.1649,0,0.394105,0.182101061,0.1947,0.5918,0.3971,1,0.98668,0.106301776,0.8185,1.0996,0.2811,1,-21.190325,0.859451536,-23.325,-20.5875,2.7375,1,-15.91969,1.663478474,-17.55,-11.4938,6.0562,0,-29.874375,0.962024842,-31.425,-28.6125,2.8125,0,Rotation Left
0.32775,0.232205244,0.07,0.893,0.823,2,-0.1834,0.184213604,-0.4557,0.1658,0.6215,1,0.95636,0.383482862,0.082,1.4312,1.3492,2,0.014645,0.124810707,-0.1057,0.1826,0.2883,0,0.22255,0.112243358,0.0726,0.5148,0.4422,1,0.64539,0.048403046,0.6035,0.8185,0.215,0,-21.84189,0.960068948,-23.325,-20.8875,2.4375,0,-11.47313,0.131378408,-11.6438,-11.2875,0.3563,1,-32.07751,0.686556817,-33.075,-31.425,1.65,0,Rotation Left
0.188895,0.358550672,-0.4058,0.893,1.2988,1,-0.46552,0.096745174,-0.5735,-0.1981,0.3754,1,0.258005,0.290457786,-0.149,0.6728,0.8218,2,0.19414,0.057021912,0.1167,0.2498,0.1331,1,0.48936,0.095672203,0.4317,0.7701,0.3384,0,0.56306,0.11884326,0.4654,0.8918,0.4264,0,-21.07689,0.8667048,-22.2375,-19.9125,2.325,0,-9.70971,1.123292933,-11.6438,-8.4,3.2438,1,-33.08066,0.708010944,-33.9188,-32.0438,1.875,0,Rotation Left
-0.486185,0.511225112,-1.2033,0.2478,1.4511,1,-0.64173,0.097609662,-0.7832,-0.465,0.3182,3,-0.19193,0.302697156,-0.5817,0.4594,1.0411,1,0.059815,0.064260099,-0.0495,0.1546,0.2041,0,0.7062,0.081904615,0.5857,0.7861,0.2004,1,1.18487,0.304452502,0.8918,1.5846,0.6928,0,-19.16722,1.087468658,-20.6813,-18.0563,2.625,0,-6.03939,1.08444039,-10.5,-5.325,5.175,0,-36.079705,1.278025579,-37.7625,-33.9188,3.8437,1,Rotation Left
1.34693,0.430480499,0.2478,1.891,1.6432,1,-0.697425,0.13169648,-0.9291,-0.5285,0.4006,1,0.751705,0.249323586,0.3515,1.1232,0.7717,2,-0.02239,0.057095883,-0.1118,0.0495,0.1613,1,0.772975,0.088231337,0.5857,0.8496,0.2639,1,1.57449,0.107100429,1.4612,1.7104,0.2492,1,-15.36752,1.384583936,-16.9875,-12.8813,4.1062,0,-1.0856,2.681369762,-5.1562,1.4062,6.5624,0,-38.44503,1.282331173,-40.425,-36.75,3.675,0,Rotation Left
0.768975,0.708657335,-0.4057,1.9109,2.3166,0,-0.90988,0.091929014,-1.0546,-0.7649,0.2897,1,0.562465,0.831723636,-0.8895,1.4768,2.3663,2,-0.105985,0.233291807,-0.4881,0.1118,0.5999,1,0.767245,0.146523689,0.5246,0.9009,0.3763,1,1.268745,0.080701744,1.2009,1.499,0.2981,0,-9.953465,1.836433078,-12.8813,-7.3125,5.5688,0,4.87406,1.737284791,1.4062,5.85,4.4438,1,-40.947195,0.4969899,-42.0563,-40.425,1.6313,0,Rotation Left
0.274545,0.446156104,-0.3009,0.9061,1.207,2,-0.411025,0.186020023,-0.7649,-0.2028,0.5621,2,0.512185,0.395223134,0.194,1.4317,1.2377,1,-0.05181,0.119866805,-0.4881,0.0495,0.5376,0,0.594665,0.066647605,0.5246,0.6944,0.1698,1,1.120905,0.142223129,0.9786,1.3219,0.3433,1,-3.96564,2.212400686,-7.3125,-1.2375,6.075,0,7.294725,1.669293546,5.3063,9.0188,3.7125,1,-41.443175,0.950258805,-42.8438,-40.4813,2.3625,1,Rotation Left
0.192825,0.311128358,-0.282,0.8397,1.1217,2,-0.139205,0.187266832,-0.3787,0.4678,0.8465,2,0.41997,0.55680933,-0.4907,1.225,1.7157,2,-0.08555,0.118903913,-0.2413,0.0617,0.303,1,0.48299,0.06672426,0.4245,0.5833,0.1588,1,0.84803,0.028962909,0.8051,0.887,0.0819,1,0.862515,1.736933532,-1.2375,3.3563,4.5938,0,8.25847,1.27534206,7.2188,10.1625,2.9437,0,-42.183785,0.205264876,-42.8438,-41.9813,0.8625,1,Rotation Left
