time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
2025-08-15T23:59:34.714Z,-0.0762,-0.4418,0.2266,-0.1879,0.1435,-0.088,-2.4892,23.223,-38.4111
2025-08-15T23:59:34.724Z,-0.2717,-0.3798,0.2725,0.2111,-0.0023,-0.0531,-2.2993,23.1928,-38.0507
2025-08-15T23:59:34.733Z,-0.4394,-0.5452,0.268,0.32,-0.1591,-0.0578,-2.4677,23.1353,-38.512
2025-08-15T23:59:34.745Z,-0.5475,-0.4868,-0.1115,0.3697,-0.2697,-0.0059,-2.624,22.9622,-38.6283
2025-08-15T23:59:34.755Z,-0.6223,-0.4158,-0.4254,0.2999,-0.2372,0.0536,-2.6625,22.852,-39.0681
2025-08-15T23:59:34.764Z,-0.6641,-0.3773,-0.6304,0.2999,-0.2372,0.0536,-2.6852,22.6041,-38.9476
2025-08-15T23:59:34.775Z,-0.6796,-0.3357,-0.8441,0.0499,-0.0312,0.1605,-2.7551,22.7345,-39.0719
2025-08-15T23:59:34.784Z,-0.6458,-0.2298,-0.9296,0.0499,-0.0312,0.1605,-2.7802,22.7772,-39.0249
2025-08-15T23:59:34.795Z,-0.4994,-0.1257,-0.9817,-0.187,0.2274,0.1906,-2.6277,22.6669,-38.9711
2025-08-15T23:59:34.805Z,-0.3849,-0.0174,-0.951,-0.2792,0.3209,0.173,-2.531,22.777,-39.2034
2025-08-15T23:59:34.814Z,-0.2312,0.1228,-0.7593,-0.2792,0.3209,0.173,-2.4072,22.8338,-38.9101
2025-08-15T23:59:34.825Z,-0.0491,0.2476,-0.5542,-0.335,0.4346,0.1139,-2.3513,22.9649,-38.8756
2025-08-15T23:59:34.833Z,0.0457,0.298,-0.4533,-0.335,0.4346,0.1139,-2.203,22.923,-38.799
2025-08-15T23:59:34.845Z,-0.0321,0.2553,-0.3145,-0.1502,0.3913,0.062,-1.9789,23.0752,-38.5173
2025-08-15T23:59:34.855Z,-0.2366,0.1654,-0.2043,-0.0138,0.3006,0.056,-1.8963,23.1649,-38.5672
2025-08-15T23:59:34.865Z,-0.4521,0.0956,-0.1909,0.1086,0.1806,0.0692,-1.7098,23.24,-38.5624
2025-08-15T23:59:34.876Z,-0.6173,0.0773,-0.1999,0.2066,0.0718,0.0976,-1.6812,23.3171,-38.6864
2025-08-15T23:59:34.883Z,-0.7345,0.0978,-0.3047,0.2066,0.0718,0.0976,-1.6522,23.1707,-38.5831
2025-08-15T23:59:34.895Z,-0.8109,0.1338,-0.4714,0.289,-0.0146,0.1776,-1.4959,23.1997,-38.8119
2025-08-15T23:59:34.905Z,-0.8077,0.1869,-0.652,0.2722,-0.0161,0.2149,-1.5061,23.0414,-38.9519
2025-08-15T23:59:34.916Z,-0.7683,0.2382,-0.8102,0.2178,-0.0049,0.2407,-1.3362,22.9508,-38.704
2025-08-15T23:59:34.925Z,-0.7186,0.2906,-0.8969,0.1331,-0.0002,0.2574,-1.3732,22.772,-38.7961
2025-08-15T23:59:34.933Z,-0.7164,0.3819,-0.9055,0.1331,-0.0002,0.2574,-1.2609,22.7715,-38.8449
2025-08-15T23:59:34.945Z,-0.6393,0.4255,-0.8751,-0.0635,0.038,0.246,-1.3087,22.7294,-38.8584
2025-08-15T23:59:34.955Z,-0.5004,0.5026,-0.8167,-0.1201,0.0717,0.2152,-1.2861,22.7267,-38.9708
2025-08-15T23:59:34.965Z,-0.3647,0.582,-0.624,-0.1254,0.1048,0.1669,-1.025,22.7601,-39.0116
2025-08-15T23:59:34.975Z,-0.2332,0.6196,-0.4423,-0.0925,0.1265,0.1184,-0.8631,22.6831,-38.8117
2025-08-15T23:59:34.985Z,-0.1734,0.6541,-0.2828,-0.0925,0.1265,0.1184,-0.8342,22.7269,-38.962
2025-08-15T23:59:34.995Z,-0.2233,0.699,-0.2021,-0.0493,0.1342,0.0813,-0.8115,22.8414,-39.0084
2025-08-15T23:59:35.005Z,-0.2989,0.6789,-0.238,0.0531,0.1181,0.0703,-0.8822,22.9264,-38.9115
2025-08-15T23:59:35.015Z,-0.3377,0.6229,-0.3514,0.1027,0.0909,0.0998,-0.7775,22.9265,-39.0438
2025-08-15T23:59:35.025Z,-0.4099,0.563,-0.455,0.1379,0.0325,0.138,-0.6811,22.8792,-38.9284
2025-08-15T23:59:35.035Z,-0.4955,0.4935,-0.4708,0.1584,-0.0688,0.1725,-0.7096,22.712,-39.1077
2025-08-15T23:59:35.045Z,-0.5996,0.5253,-0.4241,0.1852,-0.1774,0.1972,-0.8563,22.7607,-39.1421
2025-08-15T23:59:35.054Z,-0.6197,0.6193,-0.3819,0.1852,-0.1774,0.1972,-0.6167,22.8105,-39.2655
2025-08-15T23:59:35.065Z,-0.5931,0.6698,-0.365,0.2279,-0.3396,0.1869,-0.7315,22.77,-39.0457
2025-08-15T23:59:35.075Z,-0.521,0.6896,-0.4226,0.2338,-0.3621,0.159,-0.8598,22.6256,-39.1963
2025-08-15T23:59:35.086Z,-0.4394,0.7319,-0.4514,0.2379,-0.372,0.1407,-0.9378,22.5911,-39.1278
2025-08-15T23:59:35.095Z,-0.4049,0.7866,-0.4037,0.246,-0.3749,0.1261,-1.0666,22.3054,-39.1234
2025-08-15T23:59:35.105Z,-0.38,0.8332,-0.3196,0.2622,-0.364,0.1091,-1.1825,22.2615,-39.3258
2025-08-15T23:59:35.115Z,-0.2777,0.8303,-0.3097,0.2872,-0.3116,0.1028,-1.0496,22.1487,-39.1988
2025-08-15T23:59:35.125Z,-0.1874,0.7573,-0.4175,0.3041,-0.2528,0.0979,-1.2218,22.0303,-39.3458
2025-08-15T23:59:35.136Z,-0.1905,0.7107,-0.5227,0.3007,-0.2003,0.0931,-1.3726,22.0756,-39.3926
2025-08-15T23:59:35.145Z,-0.2796,0.7643,-0.5571,0.2785,-0.1617,0.0914,-1.4387,21.9573,-39.5524
2025-08-15T23:59:35.156Z,-0.4036,0.8811,-0.5498,0.2559,-0.1364,0.1002,-1.4826,21.9267,-39.587
2025-08-15T23:59:35.165Z,-0.4677,0.9661,-0.5836,0.2449,-0.1111,0.116,-1.4794,21.672,-39.4521
2025-08-15T23:59:35.174Z,-0.5034,1.014,-0.6664,0.2321,-0.0972,0.1135,-1.5559,21.576,-39.6033
2025-08-15T23:59:35.185Z,-0.571,1.0135,-0.7113,0.1763,-0.0461,0.0992,-1.7285,21.6026,-39.9485
2025-08-15T23:59:35.194Z,-0.6118,1.0424,-0.8467,0.1028,0.0123,0.0802,-1.669,21.5663,-39.8042
2025-08-15T23:59:35.204Z,-0.6384,1.157,-0.8848,0.0261,0.0645,0.0714,-1.7591,21.6991,-39.8001
2025-08-15T23:59:35.214Z,-0.6172,1.2194,-0.872,-0.0418,0.1062,0.0722,-1.6134,21.5622,-39.9252
